Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
Ruddy Shelduck,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Garganey,8,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Northern Shoveler,14,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Gadwall,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Eurasian Wigeon,6,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Indian Spot-billed Duck,31,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Green-winged Teal,11,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Common Pochard,8,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Indian Peafowl,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Gray Francolin,9,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Black Francolin,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,"Calling, well camouflage in  bushes/reeds"
Rock Pigeon (Feral Pigeon),33,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Eurasian Collared-Dove,25,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Red Collared-Dove,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Laughing Dove,17,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Yellow-footed Green-Pigeon,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Greater Coucal,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Little Swift,5,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Eurasian Moorhen,17,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Eurasian Coot,89,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Gray-headed Swamphen,16,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
White-breasted Waterhen,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Black-winged Stilt,40,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Little Ringed Plover,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Red-wattled Lapwing,32,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
White-tailed Lapwing,5,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,Foraging
Kentish Plover,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,Foraging
Common Snipe,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Common Sandpiper,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Green Sandpiper,9,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Marsh Sandpiper,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Common Greenshank,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Ruff,40,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
